Ordem,ID,Receita,Slug,Arquivo_Procurado,Imagem_Encontrada_em_img,Imagem_Aprovada,Presente_em_public_images_recipes,Manifesto_Correto,Status_HTTP_no_site,Motivo_do_Placeholder,Acao_Necessaria
63,12,Rosquinha econômica,rosquinha-economica,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
64,22,Torta de abacaxi (Tia Vag),torta-de-abacaxi-tia-vag,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
65,63,Pudim de pão,pudim-de-pao,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
66,25,Bolo de mandioca (receita datilografada),bolo-de-mandioca-receita-datilografada,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
67,36,Banana cake,banana-cake,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
68,61,Rocambole de frutas com chantilly,rocambole-de-frutas-com-chantilly,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
69,84,Pavê delicioso,pave-delicioso,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
70,47,Fudge de castanha-do-pará,fudge-de-castanha-do-para,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
71,6,Pão de ló americano,pao-de-lo-americano,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
72,16,Bolo de Natal,bolo-de-natal,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
73,15,Bolo de laranja,bolo-de-laranja,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
74,62,Fatias de Pão João (Belinha),fatias-de-pao-joao-belinha,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
75,2,Balas de coco,balas-de-coco,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
76,77,Cocada de leite condensado,cocada-de-leite-condensado,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
77,14,Pão de mel,pao-de-mel,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
78,13,Bolo de Nescau (Joana),bolo-de-nescau-joana,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
79,32,Biscoito de areia,biscoito-de-areia,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
80,45,Cuca (mamãe),cuca-mamae,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
81,39,Bolachinha de castanha-do-pará,bolachinha-de-castanha-do-para,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
82,72,Fudge de geladeira,fudge-de-geladeira,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
83,71,Aperitivo (Mr. Dave),aperitivo-mr-dave,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
84,55,Torta de maçã (Vila),torta-de-maca-vila,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
85,20,Torta assombrosa (Lucia Poteller),torta-assombrosa-lucia-poteller,(nenhum),nao,nao,nao,sim,N/A (sem imagem aprovada),Nenhuma imagem gerada ainda para esta receita.,Aguardar geração/aprovação de imagem
