Ordem,ID,Receita,Slug,Caminho,Hash,Status,Motivo,Utilizada
15,65,Bolo de mel e cacau (título atribuído pelo conteúdo),bolo-de-mel-e-cacau-titulo-atribuido-pelo-conteudo,,,REJEITADA,Bolo de mel e cacau: nozes/amêndoas decorativas no topo não confirmadas.,nao
16,52,Sequilho de fubá,sequilho-de-fuba,img/016-sequilho-de-fuba.webp,53a41e839c7dfd438d1d05953d95f41b80fec02fd0dec95107ef9ae982f070a5,APROVADA,Massa simples de fubá/araruta compatível.,sim
17,43,Torta de Natal australiana,torta-de-natal-australiana,,,REJEITADA,"Torta de Natal australiana: formato individual fechado tipo mince pie, não bolo assado inteiro com glacê.",nao
18,73,Torta chiffon de limão,torta-chiffon-de-limao,,,REJEITADA,"Torta chiffon de limão: aparência de cheesecake denso, não recheio leve e aerado (chiffon).",nao
19,49,Chocolate chiffon pie,chocolate-chiffon-pie,,,REJEITADA,"Chocolate chiffon pie: recheio bege claro, não claramente marrom-chocolate como exigido.",nao
20,17,Torta de maçã (Ligia),torta-de-maca-ligia,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
21,18,Bolo inglês,bolo-ingles,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
22,38,Bolinha de queijo,bolinha-de-queijo,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
23,28,Manjar branco,manjar-branco,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
24,4,Bolachinhas com geleia ou mel,bolachinhas-com-geleia-ou-mel,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
25,48,Bolachinhas (Ivo Murilo),bolachinhas-ivo-murilo,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
26,34,Sequilhos (Rachel),sequilhos-rachel,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
27,57,Bolacha (José Carlos),bolacha-jose-carlos,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
28,19,Biscoito de geladeira,biscoito-de-geladeira,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
29,31,Biscoitinhos,biscoitinhos,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
30,33,Pie shell,pie-shell,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
31,9,Pudim de castanhas,pudim-de-castanhas,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
32,29,Sorvete base,sorvete-base,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
33,83,Creme de queijo,creme-de-queijo,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
34,44,Creme de laranja,creme-de-laranja,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
35,66,Bolo de fubá (Yone),bolo-de-fuba-yone,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
36,78,Espuma mousse de chocolate (Yone),espuma-mousse-de-chocolate-yone,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
37,59,Doce de damasco,doce-de-damasco,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
38,74,Massa para tortas,massa-para-tortas,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
39,64,Recheio de limão,recheio-de-limao,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
40,42,Doce de batata (Sofia Coutinho),doce-de-batata-sofia-coutinho,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
41,37,Rosca (Elisa),rosca-elisa,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
42,27,Suflê de chocolate (Sugi),sufle-de-chocolate-sugi,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
43,1,Bolo de farinha de milho,bolo-de-farinha-de-milho,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
44,53,Bolo A,bolo-a,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
45,10,Bolo da Lila,bolo-da-lila,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
46,41,Rosca coroa (Leis),rosca-coroa-leis,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
47,76,Puchero,puchero,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
48,21,Molho de tomates,molho-de-tomates,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
49,67,Filé-mignon à la crème,file-mignon-a-la-creme,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
50,69,Molho de creme,molho-de-creme,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
51,50,Lasanha de frango,lasanha-de-frango,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
52,82,Creme de chocolate e frutas,creme-de-chocolate-e-frutas,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
53,58,Crêpe Suzette,crepe-suzette,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
54,70,Caramelo,caramelo,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
55,79,Gelado de chocolate,gelado-de-chocolate,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
56,85,Gelado de morangos,gelado-de-morangos,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
57,80,Marron glacé,marron-glace,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
58,7,Parfait exotique,parfait-exotique,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
59,51,Charlotte de chocolate,charlotte-de-chocolate,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
60,3,Pudim de coco,pudim-de-coco,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
61,68,Creme de laranja (mamãe),creme-de-laranja-mamae,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
62,54,Bala (M. Gilda),bala-m-gilda,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
63,12,Rosquinha econômica,rosquinha-economica,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
64,22,Torta de abacaxi (Tia Vag),torta-de-abacaxi-tia-vag,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
65,63,Pudim de pão,pudim-de-pao,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
66,25,Bolo de mandioca (receita datilografada),bolo-de-mandioca-receita-datilografada,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
67,36,Banana cake,banana-cake,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
68,61,Rocambole de frutas com chantilly,rocambole-de-frutas-com-chantilly,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
69,84,Pavê delicioso,pave-delicioso,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
70,47,Fudge de castanha-do-pará,fudge-de-castanha-do-para,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
71,6,Pão de ló americano,pao-de-lo-americano,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
72,16,Bolo de Natal,bolo-de-natal,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
73,15,Bolo de laranja,bolo-de-laranja,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
74,62,Fatias de Pão João (Belinha),fatias-de-pao-joao-belinha,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
75,2,Balas de coco,balas-de-coco,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
76,77,Cocada de leite condensado,cocada-de-leite-condensado,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
77,14,Pão de mel,pao-de-mel,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
78,13,Bolo de Nescau (Joana),bolo-de-nescau-joana,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
79,32,Biscoito de areia,biscoito-de-areia,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
80,45,Cuca (mamãe),cuca-mamae,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
81,39,Bolachinha de castanha-do-pará,bolachinha-de-castanha-do-para,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
82,72,Fudge de geladeira,fudge-de-geladeira,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
83,71,Aperitivo (Mr. Dave),aperitivo-mr-dave,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
84,55,Torta de maçã (Vila),torta-de-maca-vila,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
85,20,Torta assombrosa (Lucia Poteller),torta-assombrosa-lucia-poteller,,,SEM_IMAGEM,Nenhuma imagem gerada ainda para esta receita.,nao
